sno,sna,tot,dis,INDEX,Station,
264,秀山區民活動中心,28,1210.466323,R23,復興崗,1
265,中央北路四段30巷口,30,674.9842639,R24,忠義,2
266,洲子一號公園,34,319.735322,BR16,西湖,2
267,八德中坡路口,38,256.7708528,G19,松山,2
268,南港高工,30,506.0809534,BL22,南港,2
269,三軍總醫院,30,1032.30042,BR18,文德,1
270,雨農國小,34,724.5174479,R17,芝山,2
271,伊通長安路口,28,440.5672863,G15,松江南京,2
272,忠順區民活動中心,32,1622.639479,BR03,萬芳社區,1
273,芝山國小,38,1582.462407,R17,芝山,1
